Dataset,UseTLS,TLSRatio,K,ef,Recall,Latency(ms/query),DecodingCalls,DistanceComputations,AvgDecodingPerQuery
mnist-784-euclidean,0,0.00,1,120,0.999800,2.3634,10242980,782603,1024.2980
mnist-784-euclidean,1,0.10,1,120,0.997300,0.8358,2396716,148856,239.6716
mnist-784-euclidean,1,0.20,1,120,0.999100,0.9005,2650274,160628,265.0274
mnist-784-euclidean,1,0.30,1,120,0.999800,1.0453,3253383,209738,325.3383
mnist-784-euclidean,0,0.00,1,150,0.999900,2.7834,11989937,782603,1198.9937
mnist-784-euclidean,1,0.10,1,150,0.997400,1.0076,2966080,148856,296.6080
mnist-784-euclidean,1,0.20,1,150,0.999100,1.0797,3244546,160628,324.4546
mnist-784-euclidean,1,0.30,1,150,0.999800,1.2354,3920930,209738,392.0930
mnist-784-euclidean,0,0.00,1,200,0.999900,3.4543,14685281,782603,1468.5281
mnist-784-euclidean,1,0.10,1,200,0.997400,1.2909,3908531,148856,390.8531
mnist-784-euclidean,1,0.20,1,200,0.999300,1.3755,4221743,160628,422.1743
mnist-784-euclidean,1,0.30,1,200,1.000000,1.5539,5007373,209738,500.7373
mnist-784-euclidean,0,0.00,1,300,1.000000,4.5247,19554635,782603,1955.4635
mnist-784-euclidean,1,0.10,1,300,0.997600,1.8458,5766404,148856,576.6404
mnist-784-euclidean,1,0.20,1,300,0.999300,1.9486,6138256,160628,613.8256
mnist-784-euclidean,1,0.30,1,300,1.000000,2.1734,7112718,209738,711.2718
sift-128-euclidean,0,0.00,1,10,0.783000,0.2456,2980734,1117269,298.0734
sift-128-euclidean,1,0.10,1,10,0.743100,0.0678,319054,184728,31.9054
sift-128-euclidean,1,0.20,1,10,0.773200,0.0924,552724,215065,55.2724
sift-128-euclidean,1,0.30,1,10,0.779100,0.1209,829253,289072,82.9253
sift-128-euclidean,0,0.00,1,20,0.883400,0.3827,4682820,1117269,468.2820
sift-128-euclidean,1,0.10,1,20,0.849400,0.0979,515876,184728,51.5876
sift-128-euclidean,1,0.20,1,20,0.875500,0.1326,868433,215065,86.8433
sift-128-euclidean,1,0.30,1,20,0.881700,0.1767,1303297,289072,130.3297
sift-128-euclidean,0,0.00,1,30,0.927200,0.5109,6269680,1117269,626.9680
sift-128-euclidean,1,0.10,1,30,0.895800,0.1274,708552,184728,70.8552
sift-128-euclidean,1,0.20,1,30,0.917700,0.1755,1165891,215065,116.5891
sift-128-euclidean,1,0.30,1,30,0.925500,0.2316,1745952,289072,174.5952
sift-128-euclidean,0,0.00,1,40,0.949200,0.6389,7817075,1117269,781.7075
sift-128-euclidean,1,0.10,1,40,0.916600,0.1571,900925,184728,90.0925
sift-128-euclidean,1,0.20,1,40,0.940300,0.2118,1458640,215065,145.8640
sift-128-euclidean,1,0.30,1,40,0.947800,0.2811,2176292,289072,217.6292
sift-128-euclidean,0,0.00,1,50,0.964400,0.7517,9326845,1117269,932.6845
sift-128-euclidean,1,0.10,1,50,0.932300,0.1836,1094560,184728,109.4560
sift-128-euclidean,1,0.20,1,50,0.953900,0.2491,1746761,215065,174.6761
sift-128-euclidean,1,0.30,1,50,0.962300,0.3316,2598753,289072,259.8753
sift-128-euclidean,0,0.00,1,60,0.971300,0.8776,10809158,1117269,1080.9158
sift-128-euclidean,1,0.10,1,60,0.941600,0.2128,1288440,184728,128.8440
sift-128-euclidean,1,0.20,1,60,0.961600,0.2860,2031568,215065,203.1568
sift-128-euclidean,1,0.30,1,60,0.969000,0.3843,3015906,289072,301.5906
sift-128-euclidean,0,0.00,1,80,0.981000,1.1150,13703488,1117269,1370.3488
sift-128-euclidean,1,0.10,1,80,0.953100,0.2718,1678834,184728,167.8834
sift-128-euclidean,1,0.20,1,80,0.972500,0.3667,2593421,215065,259.3421
sift-128-euclidean,1,0.30,1,80,0.979200,0.4785,3827663,289072,382.7663
sift-128-euclidean,0,0.00,1,100,0.984900,1.3396,16500504,1117269,1650.0504
sift-128-euclidean,1,0.10,1,100,0.957500,0.3335,2071413,184728,207.1413
sift-128-euclidean,1,0.20,1,100,0.976600,0.4364,3144915,215065,314.4915
sift-128-euclidean,1,0.30,1,100,0.983900,0.5785,4618964,289072,461.8964
sift-128-euclidean,0,0.00,1,120,0.987000,1.5533,19213125,1117269,1921.3125
sift-128-euclidean,1,0.10,1,120,0.961500,0.3892,2463378,184728,246.3378
sift-128-euclidean,1,0.20,1,120,0.980300,0.5101,3686869,215065,368.6869
sift-128-euclidean,1,0.30,1,120,0.985700,0.6665,5388299,289072,538.8299
sift-128-euclidean,0,0.00,1,150,0.988700,1.8835,23153589,1117269,2315.3589
sift-128-euclidean,1,0.10,1,150,0.964700,0.4706,3053009,184728,305.3009
sift-128-euclidean,1,0.20,1,150,0.983400,0.6112,4484331,215065,448.4331
sift-128-euclidean,1,0.30,1,150,0.988400,0.8084,6516113,289072,651.6113
sift-128-euclidean,0,0.00,1,200,0.990800,2.3905,29429003,1117269,2942.9003
sift-128-euclidean,1,0.10,1,200,0.968600,0.6235,4035692,184728,403.5692
sift-128-euclidean,1,0.20,1,200,0.984200,0.7956,5780529,215065,578.0529
sift-128-euclidean,1,0.30,1,200,0.989400,1.0364,8325780,289072,832.5780
sift-128-euclidean,0,0.00,1,300,0.991000,3.3370,41164600,1117269,4116.4600
sift-128-euclidean,1,0.10,1,300,0.970100,0.9154,5999841,184728,599.9841
sift-128-euclidean,1,0.20,1,300,0.985800,1.1466,8285792,215065,828.5792
sift-128-euclidean,1,0.30,1,300,0.990200,1.4687,11763766,289072,1176.3766
