Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Num_Rounds,Enable_Profiling,Recall,TimePerQuery(us),P99_Latency(us),QPS,Decoding_Calls,GetOriginalData_Calls,Avg_Decode_Per_Query,Avg_Backtrack_Hops_Per_Call
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,300,3,1,0.954000,351644.009333,449067.33,2.84,10236118,5187827,10236.118000,0.973103
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,400,3,1,0.965000,459905.913667,605992.33,2.18,12987299,6570173,12987.299000,0.976706
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,10,3,1,0.442000,5809.955667,9702.00,172.12,154175,86088,154.175000,0.790900
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,20,3,1,0.595000,9048.974667,14679.33,110.53,236595,127498,236.595000,0.855676
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,30,3,1,0.684000,11592.790667,17679.00,86.26,310885,164823,310.885000,0.886175
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,40,3,1,0.729000,14434.502000,21526.00,69.29,381698,200397,381.698000,0.904709
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,50,3,1,0.766000,17073.746667,24858.67,58.57,451216,235305,451.216000,0.917579
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,60,3,1,0.790000,19364.099000,27955.00,51.65,516652,268176,516.652000,0.926541
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,80,3,1,0.840000,24559.496667,33797.33,40.72,649941,335143,649.941000,0.939295
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,100,3,1,0.859000,29579.488000,39136.33,33.81,779502,400219,779.502000,0.947689
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,120,3,1,0.884000,35002.774000,44876.33,28.57,907010,464278,907.010000,0.953592
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,150,3,1,0.907000,42005.323000,53355.00,23.81,1094114,558284,1094.114000,0.959780
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,200,3,1,0.922000,52957.739000,67956.33,18.89,1399270,711599,1399.270000,0.966374
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,300,3,1,0.951000,76424.345000,96636.00,13.09,1984521,1005673,1984.521000,0.973326
gist-960-euclidean,DeXOR,2,0,1,0.2000,1,400,3,1,0.963000,94953.364333,119525.33,10.53,2544581,1287087,2544.581000,0.977008
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,10,3,1,0.456000,22160.943000,38131.33,45.13,535256,359614,535.256000,0.988349
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,20,3,1,0.608000,35543.674333,57063.00,28.14,867437,580277,867.437000,0.990991
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,30,3,1,0.699000,47346.945333,72324.33,21.12,1158376,774186,1158.376000,0.992029
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,40,3,1,0.740000,57832.472333,83898.67,17.29,1431395,956062,1431.395000,0.992616
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,50,3,1,0.776000,67837.960333,96147.33,14.74,1701235,1135686,1701.235000,0.992997
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,60,3,1,0.802000,79376.443333,112411.00,12.60,1962835,1309546,1962.835000,0.993289
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,80,3,1,0.847000,100215.837667,137857.33,9.98,2485627,1658191,2485.627000,0.993636
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,100,3,1,0.873000,120057.498667,158787.67,8.33,2987858,1992595,2987.858000,0.993901
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,120,3,1,0.893000,138598.871667,182411.33,7.22,3479781,2320721,3479.781000,0.994059
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,150,3,1,0.905000,167627.529333,220948.33,5.97,4205763,2804385,4205.763000,0.994233
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,200,3,1,0.928000,212162.960667,276416.00,4.71,5365409,3576121,5365.409000,0.994433
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,300,3,1,0.954000,299322.541667,390405.67,3.34,7562543,5039428,7562.543000,0.994582
gist-960-euclidean,DeXOR,2,1,0,0.0000,1,400,3,1,0.965000,378661.176333,497610.33,2.64,9614469,6406501,9614.469000,0.994667
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,10,3,1,0.442000,4300.836333,7455.33,232.47,101046,67867,101.046000,0.988713
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,20,3,1,0.595000,6785.076000,10898.00,147.37,162554,108822,162.554000,0.991132
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,30,3,1,0.684000,8956.425000,13777.00,111.64,218046,145765,218.046000,0.992111
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,40,3,1,0.729000,11099.454667,16895.33,90.09,271007,180946,271.007000,0.992622
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,50,3,1,0.766000,13163.810667,19106.67,75.96,323081,215514,323.081000,0.993082
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,60,3,1,0.790000,15111.133333,21884.33,66.17,372177,247996,372.177000,0.993391
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,80,3,1,0.840000,19087.517000,26708.00,52.39,471813,314265,471.813000,0.993782
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,100,3,1,0.859000,22945.212333,30520.00,43.58,568606,378690,568.606000,0.994019
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,120,3,1,0.884000,26743.390667,34753.00,37.39,663573,442036,663.573000,0.994197
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,150,3,1,0.907000,32328.411000,41202.00,30.93,803545,535063,803.545000,0.994335
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,200,3,1,0.922000,41489.968667,52298.67,24.10,1031803,686844,1031.803000,0.994478
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,300,3,1,0.951000,59198.958667,74363.33,16.89,1469285,977952,1469.285000,0.994584
gist-960-euclidean,DeXOR,2,1,1,0.2000,1,400,3,1,0.963000,75968.596000,94770.67,13.16,1887844,1256448,1887.844000,0.994666
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,10,3,1,0.483000,100428.267333,177429.00,9.96,2533037,447203,2533.037000,4.664177
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,20,3,1,0.609000,166405.812667,271350.67,6.01,4096505,674025,4096.505000,5.077675
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,30,3,1,0.677000,218139.763667,331900.33,4.58,5467199,872282,5467.199000,5.267697
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,40,3,1,0.728000,267460.241667,382698.67,3.74,6729989,1055764,6729.989000,5.374520
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,50,3,1,0.767000,315219.429000,465173.67,3.17,7978102,1237059,7978.102000,5.449249
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,60,3,1,0.801000,364256.142667,511160.33,2.75,9221684,1417199,9221.684000,5.506979
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,80,3,1,0.836000,457789.398667,617677.33,2.18,11591018,1761303,11591.018000,5.580934
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,100,3,1,0.862000,552358.736667,736146.00,1.81,13965639,2105844,13965.639000,5.631849
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,120,3,1,0.878000,641975.043333,836600.67,1.56,16223938,2432969,16223.938000,5.668370
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,150,3,1,0.899000,776442.600333,1008318.00,1.29,19610360,2924376,19610.360000,5.705827
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,200,3,1,0.912000,990065.825333,1275542.33,1.01,25006820,3707130,25006.820000,5.745601
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,300,3,1,0.930000,1397159.501000,1820802.33,0.72,35240334,5189204,35240.334000,5.791087
gist-960-euclidean,DeXOR,-1,0,0,0.0000,1,400,3,1,0.942000,1830995.609667,2405338.67,0.55,44796884,6571730,44796.884000,5.816604
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,10,3,1,0.481000,20009.056000,35720.33,49.98,482528,86066,482.528000,4.606488
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,20,3,1,0.602000,32188.974667,51731.33,31.07,772984,128283,772.984000,5.025615
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,30,3,1,0.668000,42642.723000,68187.33,23.45,1027083,165000,1027.083000,5.224745
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,40,3,1,0.715000,52835.116667,79647.00,18.93,1267656,199966,1267.656000,5.339358
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,50,3,1,0.756000,62458.546333,91635.67,16.01,1505230,234476,1505.230000,5.419548
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,60,3,1,0.793000,72307.360667,101926.67,13.83,1739221,268488,1739.221000,5.477835
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,80,3,1,0.830000,91348.726333,125106.67,10.95,2193664,334391,2193.664000,5.560177
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,100,3,1,0.860000,109649.255667,143847.67,9.12,2643382,399441,2643.382000,5.617703
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,120,3,1,0.879000,127611.335333,166920.33,7.84,3090438,464168,3090.438000,5.658016
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,150,3,1,0.893000,154638.915000,194693.33,6.47,3737586,557840,3737.586000,5.700104
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,200,3,1,0.908000,197705.046667,250875.33,5.06,4797820,711112,4797.820000,5.746926
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,300,3,1,0.929000,273325.788333,342445.67,3.66,6835506,1005086,6835.506000,5.800917
gist-960-euclidean,DeXOR,-1,0,1,0.2000,1,400,3,1,0.941000,356746.910667,443968.33,2.80,8774252,1284404,8774.252000,5.831380
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,10,3,1,0.483000,87936.652000,154225.33,11.37,2026564,352940,2026.564000,5.333122
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,20,3,1,0.609000,143961.257667,238054.67,6.95,3329762,577118,3329.762000,5.363260
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,30,3,1,0.677000,192757.022000,299457.00,5.19,4475090,773154,4475.090000,5.381784
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,40,3,1,0.728000,235910.449333,340107.33,4.24,5529252,954535,5529.252000,5.386224
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,50,3,1,0.767000,284165.800667,421438.00,3.52,6571095,1133769,6571.095000,5.389212
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,60,3,1,0.801000,314978.235333,445368.33,3.17,7607328,1311884,7607.328000,5.392651
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,80,3,1,0.836000,395255.762667,529679.00,2.53,9580878,1651974,9580.878000,5.393786
