Dataset,Algorithm,ChainMaxLength,Vectors,Dim,BuildTime(s),CompressTime(s),DataCompressionRatio,IndexCompressionRatio,IndexFile
mnist-784-euclidean,DeXOR,6,60000,784,5.486620,19.964265,12.423829,10.707274,mnist-784-euclidean_DeXOR_ch6_pq.bin
mnist-784-euclidean,DeXOR,7,60000,784,5.530093,20.063164,12.445927,10.723480,mnist-784-euclidean_DeXOR_ch7_pq.bin
mnist-784-euclidean,DeXOR,8,60000,784,5.552055,19.928646,12.475616,10.744669,mnist-784-euclidean_DeXOR_ch8_pq.bin
mnist-784-euclidean,Gorilla,3,60000,784,5.560367,53.579207,8.412696,7.642187,mnist-784-euclidean_Gorilla_ch3_pq.bin
mnist-784-euclidean,Gorilla,4,60000,784,5.501645,24.100726,9.709351,8.668558,mnist-784-euclidean_Gorilla_ch4_pq.bin
mnist-784-euclidean,Gorilla,6,60000,784,5.526252,12.207070,10.698468,9.427715,mnist-784-euclidean_Gorilla_ch6_pq.bin
mnist-784-euclidean,Gorilla,7,60000,784,5.539336,11.870352,10.952332,9.619730,mnist-784-euclidean_Gorilla_ch7_pq.bin
mnist-784-euclidean,Gorilla,8,60000,784,5.577439,11.566154,11.098728,9.729080,mnist-784-euclidean_Gorilla_ch8_pq.bin
mnist-784-euclidean,Elf,3,60000,784,5.676560,59.247794,8.942377,8.065639,mnist-784-euclidean_Elf_ch3_pq.bin
mnist-784-euclidean,Elf,4,60000,784,5.576970,28.514342,9.108132,8.196322,mnist-784-euclidean_Elf_ch4_pq.bin
mnist-784-euclidean,Elf,6,60000,784,5.538242,16.701234,9.254859,8.311896,mnist-784-euclidean_Elf_ch6_pq.bin
mnist-784-euclidean,Elf,7,60000,784,5.624953,16.468160,9.280637,8.332676,mnist-784-euclidean_Elf_ch7_pq.bin
mnist-784-euclidean,Elf,8,60000,784,5.654750,16.077425,9.298344,8.346299,mnist-784-euclidean_Elf_ch8_pq.bin
mnist-784-euclidean,Camel,3,60000,784,5.599485,58.398180,5.496159,5.196142,mnist-784-euclidean_Camel_ch3_pq.bin
mnist-784-euclidean,Camel,4,60000,784,5.674669,28.263650,5.536152,5.231418,mnist-784-euclidean_Camel_ch4_pq.bin
mnist-784-euclidean,Camel,6,60000,784,5.572989,14.277836,5.574975,5.264911,mnist-784-euclidean_Camel_ch6_pq.bin
mnist-784-euclidean,Camel,7,60000,784,5.558503,14.291274,5.581923,5.271163,mnist-784-euclidean_Camel_ch7_pq.bin
mnist-784-euclidean,Camel,8,60000,784,5.652638,13.802937,5.587489,5.275834,mnist-784-euclidean_Camel_ch8_pq.bin
sift-128-euclidean,DeXOR,3,1000000,128,68.184074,3029.246002,6.295973,4.328068,sift-128-euclidean_DeXOR_ch3_pq.bin
sift-128-euclidean,DeXOR,4,1000000,128,68.614694,286.181362,6.366726,4.357126,sift-128-euclidean_DeXOR_ch4_pq.bin
sift-128-euclidean,DeXOR,6,1000000,128,68.140528,62.505957,6.461555,4.395536,sift-128-euclidean_DeXOR_ch6_pq.bin
sift-128-euclidean,DeXOR,7,1000000,128,60.233075,59.938294,6.489806,4.407472,sift-128-euclidean_DeXOR_ch7_pq.bin
sift-128-euclidean,DeXOR,8,1000000,128,70.044650,60.969996,6.511561,4.416672,sift-128-euclidean_DeXOR_ch8_pq.bin
sift-128-euclidean,Gorilla,3,1000000,128,67.032445,3100.778289,2.973768,2.594857,sift-128-euclidean_Gorilla_ch3_pq.bin
sift-128-euclidean,Gorilla,4,1000000,128,58.515446,300.612314,3.587014,2.981461,sift-128-euclidean_Gorilla_ch4_pq.bin
sift-128-euclidean,Gorilla,6,1000000,128,69.201733,32.257183,4.061620,3.256909,sift-128-euclidean_Gorilla_ch6_pq.bin
sift-128-euclidean,Gorilla,7,1000000,128,66.670142,29.733048,4.178016,3.321240,sift-128-euclidean_Gorilla_ch7_pq.bin
sift-128-euclidean,Gorilla,8,1000000,128,64.346948,28.364450,4.253333,3.362191,sift-128-euclidean_Gorilla_ch8_pq.bin
sift-128-euclidean,Elf,3,1000000,128,64.278306,3100.652080,4.266909,3.369818,sift-128-euclidean_Elf_ch3_pq.bin
sift-128-euclidean,Elf,4,1000000,128,61.038117,304.079961,4.374619,3.427551,sift-128-euclidean_Elf_ch4_pq.bin
sift-128-euclidean,Elf,6,1000000,128,66.382771,43.411079,4.483060,3.485188,sift-128-euclidean_Elf_ch6_pq.bin
sift-128-euclidean,Elf,7,1000000,128,64.849786,39.013449,4.516086,3.502573,sift-128-euclidean_Elf_ch7_pq.bin
sift-128-euclidean,Elf,8,1000000,128,69.108124,40.099251,4.540584,3.514571,sift-128-euclidean_Elf_ch8_pq.bin
sift-128-euclidean,Camel,3,1000000,128,62.344949,2981.921224,3.523779,2.942463,sift-128-euclidean_Camel_ch3_pq.bin
sift-128-euclidean,Camel,4,1000000,128,64.360191,291.929617,3.604273,2.991171,sift-128-euclidean_Camel_ch4_pq.bin
sift-128-euclidean,Camel,6,1000000,128,67.342239,37.280392,3.709216,3.053638,sift-128-euclidean_Camel_ch6_pq.bin
sift-128-euclidean,Camel,7,1000000,128,71.207053,30.216999,3.739374,3.071540,sift-128-euclidean_Camel_ch7_pq.bin
sift-128-euclidean,Camel,8,1000000,128,66.533757,31.350580,3.761264,3.084626,sift-128-euclidean_Camel_ch8_pq.bin
