Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Recall,TimePerQuery(us)
fashion-mnist-784-euclidean,Elf,2,1,1,0.2000,1,30,0.988500,1821.438400
fashion-mnist-784-euclidean,Elf,2,1,1,0.2000,1,40,0.991900,2375.377600
fashion-mnist-784-euclidean,Elf,2,1,1,0.3000,1,10,0.961300,1214.251400
fashion-mnist-784-euclidean,Elf,2,1,1,0.3000,1,20,0.982600,1824.145500
fashion-mnist-784-euclidean,Elf,2,1,1,0.3000,1,30,0.990600,2430.004800
fashion-mnist-784-euclidean,Elf,2,1,1,0.5000,1,10,0.961700,2046.586200
fashion-mnist-784-euclidean,Elf,2,1,1,0.5000,1,20,0.983400,2976.319100
fashion-mnist-784-euclidean,Elf,2,1,1,0.5000,1,30,0.991000,3795.017300
fashion-mnist-784-euclidean,Elf,5,0,0,0.0000,1,10,0.958900,12561.304000
fashion-mnist-784-euclidean,Elf,5,0,0,0.0000,1,20,0.984900,18834.361400
fashion-mnist-784-euclidean,Elf,5,0,0,0.0000,1,30,0.992000,24146.143600
fashion-mnist-784-euclidean,Elf,5,0,1,0.1000,1,10,0.949600,2313.390000
fashion-mnist-784-euclidean,Elf,5,0,1,0.1000,1,20,0.977000,3462.046700
fashion-mnist-784-euclidean,Elf,5,0,1,0.1000,1,30,0.983000,4785.494700
fashion-mnist-784-euclidean,Elf,5,0,1,0.1000,1,40,0.985900,6311.094000
fashion-mnist-784-euclidean,Elf,5,0,1,0.1000,1,50,0.988000,7596.486700
fashion-mnist-784-euclidean,Elf,5,0,1,0.1000,1,60,0.989000,8822.502800
fashion-mnist-784-euclidean,Elf,5,0,1,0.1000,1,80,0.990000,11217.236200
fashion-mnist-784-euclidean,Elf,5,0,1,0.2000,1,10,0.955800,2718.358100
fashion-mnist-784-euclidean,Elf,5,0,1,0.2000,1,20,0.983200,4366.409400
fashion-mnist-784-euclidean,Elf,5,0,1,0.2000,1,30,0.989000,5717.260100
fashion-mnist-784-euclidean,Elf,5,0,1,0.2000,1,40,0.991500,7035.186700
fashion-mnist-784-euclidean,Elf,5,0,1,0.3000,1,10,0.957900,3697.031900
fashion-mnist-784-euclidean,Elf,5,0,1,0.3000,1,20,0.984600,5520.475400
fashion-mnist-784-euclidean,Elf,5,0,1,0.3000,1,30,0.990900,7178.679200
fashion-mnist-784-euclidean,Elf,5,0,1,0.5000,1,10,0.958800,6193.906100
fashion-mnist-784-euclidean,Elf,5,0,1,0.5000,1,20,0.984900,9220.753500
fashion-mnist-784-euclidean,Elf,5,0,1,0.5000,1,30,0.991900,11813.953300
fashion-mnist-784-euclidean,Elf,5,1,0,0.0000,1,10,0.958900,10049.122800
fashion-mnist-784-euclidean,Elf,5,1,0,0.0000,1,20,0.984900,14883.801100
fashion-mnist-784-euclidean,Elf,5,1,0,0.0000,1,30,0.992000,19066.809400
fashion-mnist-784-euclidean,Elf,5,1,1,0.1000,1,10,0.949600,1737.403100
fashion-mnist-784-euclidean,Elf,5,1,1,0.1000,1,20,0.977000,2691.504700
fashion-mnist-784-euclidean,Elf,5,1,1,0.1000,1,30,0.983000,3751.692100
fashion-mnist-784-euclidean,Elf,5,1,1,0.1000,1,40,0.985900,4847.144700
fashion-mnist-784-euclidean,Elf,5,1,1,0.1000,1,50,0.988000,5893.561300
fashion-mnist-784-euclidean,Elf,5,1,1,0.1000,1,60,0.989000,7014.457100
fashion-mnist-784-euclidean,Elf,5,1,1,0.1000,1,80,0.990000,9354.480000
